ts_event,best_ofi,multi_ofi,integrated_ofi,cross_asset_ofi
2024-10-21T11:57:41.965660865Z,0,-36.0,-1.5175519063802103,1007
2024-10-21T11:57:42.074173420Z,0,200.0,1.9075944646804979,-134
2024-10-21T11:57:42.169221771Z,0,200.0,1.9075944646804979,-181
2024-10-21T11:57:42.207878969Z,0,-26.0,-1.51709865661649,0
2024-10-21T11:57:42.313260974Z,0,200.0,1.9075944646804979,300
2024-10-21T11:57:42.380159117Z,0,200.0,0.9724991388567243,-1198
2024-10-21T11:57:42.412324426Z,0,-200.0,-1.9075944646804979,-721
2024-10-21T11:57:42.412336614Z,0,200.0,1.9075944646804979,-98
2024-10-21T11:57:48.072962640Z,0,200.0,0.9724991388567243,72
2024-10-21T11:57:48.072974095Z,0,0.0,0.0,-3
2024-10-21T11:57:48.072984615Z,0,0.0,0.0,-14
2024-10-21T11:57:48.076659157Z,0,0.0,0.0,38
2024-10-21T11:57:48.076742621Z,0,0.0,0.0,-199
2024-10-21T11:57:48.136477014Z,0,-200.0,-1.9075944646804979,7
2024-10-21T11:57:48.136488492Z,0,200.0,1.9075944646804979,-194
2024-10-21T11:57:48.194611663Z,0,0.0,0.0,-350
2024-10-21T11:57:48.194659897Z,0,0.0,0.0,10
2024-10-21T11:57:51.070607242Z,0,0.0,0.0,384
2024-10-21T11:57:51.271195500Z,0,0.0,0.0,1140
2024-10-21T11:57:51.287108312Z,0,0.0,0.0,-181
2024-10-21T11:57:51.287157718Z,0,0.0,0.0,1000
2024-10-21T11:57:51.322699915Z,0,0.0,0.0,100
2024-10-21T11:57:52.317929239Z,0,0.0,0.0,-150
2024-10-21T11:57:52.317942384Z,0,0.0,0.0,-95
2024-10-21T11:57:58.266584280Z,0,0.0,0.0,-278
2024-10-21T11:58:06.284720780Z,0,-29.0,-1.5549472717503734,-167
2024-10-21T11:58:06.284733562Z,0,200.0,1.6741757327153737,0
2024-10-21T11:58:06.339571308Z,0,0.0,0.0,60
2024-10-21T11:58:06.359829740Z,0,200.0,0.907962582731221,160
2024-10-21T11:58:06.360206541Z,0,0.0,0.0,-4
2024-10-21T11:58:06.360243785Z,0,0.0,0.0,-170
2024-10-21T11:58:06.414660818Z,0,-200.0,-1.6741757327153737,-93
2024-10-21T11:58:06.414672832Z,0,200.0,1.9075944646804979,100
2024-10-21T11:58:14.036350634Z,0,0.0,0.0,-1097
2024-10-21T11:58:14.036377136Z,0,0.0,0.0,1007
2024-10-21T11:58:14.144708873Z,0,0.0,0.0,2
